id	idx	query	text	pred	intent_check	slot_check	slot_count	slot_total	slot_seq	ending
11	2	[weather.dust(day.p=오늘)][day.p,(정도야?|심할까?|좋아졌어?|좋아?|알려줘)]	오늘 초미세먼지 수치는 어느 정도야?	weather.dust	True	True	1	1	"1027    1.0
Name: slot_seq, dtype: float64"	"1027    0.0
Name: ending, dtype: float64"
11	21	[weather.dust(day.p=오늘)][day.p,(정도야?|심할까?|좋아졌어?|좋아?|알려줘)]	오늘 초미세먼지 정도 좀 알려줘	weather.dust	True	True	1	1	Series([], Name: slot_seq, dtype: float64)	Series([], Name: ending, dtype: float64)
11	37	[weather.dust(day.p=오늘)][day.p,(정도야?|심할까?|좋아졌어?|좋아?|알려줘)]	오늘은 초미세먼지 수치가 어느 정도야?	weather.dust	True	True	1	1	"1058    1.0
Name: slot_seq, dtype: float64"	"1058    1.0
Name: ending, dtype: float64"
11	33	[weather.dust(day.p=오늘)][day.p,(정도야?|심할까?|좋아졌어?|좋아?|알려줘)]	오늘은 미세먼지 수치 어느 정도야?	weather.dust	True	True	1	1	"1054    1.0
Name: slot_seq, dtype: float64"	"1054    1.0
Name: ending, dtype: float64"
11	43	[weather.dust(day.p=오늘)][day.p,(정도야?|심할까?|좋아졌어?|좋아?|알려줘)]	오늘은 미세먼지 수치가 어느 정도야?	weather.dust	True	True	1	1	"1063    1.0
Name: slot_seq, dtype: float64"	"1063    1.0
Name: ending, dtype: float64"
11	82	[weather.dust(day.p=오늘)][day.p,(정도야?|심할까?|좋아졌어?|좋아?|알려줘)]	오늘은 초미세먼지 수치 어느 정도야?	weather.dust	True	True	1	1	"1098    1.0
Name: slot_seq, dtype: float64"	"1098    1.0
Name: ending, dtype: float64"
11	23	[weather.dust(day.p=오늘)][day.p,(정도야?|심할까?|좋아졌어?|좋아?|알려줘)]	오늘 미세먼지 수치 어느 정도야?	weather.dust	True	True	1	1	"1045    1.0
Name: slot_seq, dtype: float64"	"1045    1.0
Name: ending, dtype: float64"
11	22	[weather.dust(day.p=오늘)][day.p,(정도야?|심할까?|좋아졌어?|좋아?|알려줘)]	오늘 미세먼지의 수치는 어느 정도야?	weather.dust	True	True	1	1	"1044    1.0
Name: slot_seq, dtype: float64"	"1044    1.0
Name: ending, dtype: float64"
11	68	[weather.dust(day.p=오늘)][day.p,(정도야?|심할까?|좋아졌어?|좋아?|알려줘)]	오늘은 미세먼지 안 좋아?	weather.dust	True	True	1	1	"1085    1.0
Name: slot_seq, dtype: float64"	"1085    1.0
Name: ending, dtype: float64"
11	32	[weather.dust(day.p=오늘)][day.p,(정도야?|심할까?|좋아졌어?|좋아?|알려줘)]	오늘 미세먼지 안 좋아?	weather.dust	True	True	1	1	Series([], Name: slot_seq, dtype: float64)	Series([], Name: ending, dtype: float64)
